stop_id,stop_name,stop_lat,stop_lon,route_id
par_4_1,PLAZA DE CASTILLA,40.46682,-3.68918,4__1___
par_4_1,PLAZA DE CASTILLA,40.46555,-3.68877,4__1___
par_4_1,PLAZA DE CASTILLA,40.46728,-3.68915,4__1___
par_4_1,PLAZA DE CASTILLA,40.46702,-3.68918,4__1___
par_4_1,PLAZA DE CASTILLA,40.46722,-3.68952,4__1___
par_4_1,PLAZA DE CASTILLA,40.46629,-3.69036,4__1___
par_4_1,PLAZA DE CASTILLA,40.46546,-3.68891,4__1___
par_4_1,PLAZA DE CASTILLA,40.46621,-3.69028,4__1___
par_4_10,TRIBUNAL,40.4263,-3.70067,4__1___
par_4_10,TRIBUNAL,40.4262,-3.70103,4__1___
par_4_10,TRIBUNAL,40.42569,-3.70111,4__1___
par_4_11,GRAN VIA,40.41986,-3.70158,4__1___
par_4_11,GRAN VIA,40.41991,-3.7013,4__1___
par_4_11,GRAN VIA,40.41992,-3.70183,4__1___
par_4_11,GRAN VIA,40.42013,-3.70181,4__1___
par_4_12,SOL,40.41707,-3.70296,4__1___
par_4_12,SOL,40.41685,-3.70296,4__1___
par_4_12,SOL,40.41665,-3.70353,4__1___
par_4_12,SOL,40.41714,-3.70329,4__1___
par_4_12,SOL,40.41671,-3.70458,4__1___
par_4_12,SOL,40.41667,-3.70441,4__1___
par_4_12,SOL,40.41724,-3.70415,4__1___
par_4_13,TIRSO DE MOLINA,40.41239,-3.70505,4__1___
par_4_13,TIRSO DE MOLINA,40.41245,-3.70373,4__1___
par_4_14,ANTON MARTIN,40.4123,-3.69865,4__1___
par_4_14,ANTON MARTIN,40.41242,-3.69958,4__1___
par_4_14,ANTON MARTIN,40.41152,-3.69733,4__1___
par_4_14,ANTON MARTIN,40.41142,-3.69742,4__1___
par_4_15,ESTACION DEL ARTE,40.409,-3.69247,4__1___
par_4_15,ESTACION DEL ARTE,40.40841,-3.69052,4__1___
par_4_16,ATOCHA,40.40754,-3.68916,4__1___
par_4_16,ATOCHA,40.40701,-3.68818,4__1___
par_4_16,ATOCHA,40.40746,-3.68899,4__1___
par_4_17,MENENDEZ PELAYO,40.40443,-3.68067,4__1___
par_4_17,MENENDEZ PELAYO,40.40452,-3.68091,4__1___
par_4_17,MENENDEZ PELAYO,40.40489,-3.68171,4__1___
par_4_18,PACIFICO,40.40157,-3.67428,4__1___
par_4_18,PACIFICO,40.40155,-3.67479,4__1___
par_4_18,PACIFICO,40.40147,-3.67438,4__1___
par_4_18,PACIFICO,40.4023,-3.67615,4__1___
par_4_19,PUENTE DE VALLECAS,40.39766,-3.66815,4__1___
par_4_19,PUENTE DE VALLECAS,40.3978,-3.66808,4__1___
par_4_19,PUENTE DE VALLECAS,40.39851,-3.66897,4__1___
par_4_2,VALDEACEDERAS,40.46409,-3.69577,4__1___
par_4_2,VALDEACEDERAS,40.46479,-3.69399,4__1___
par_4_20,NUEVA NUMANCIA,40.39615,-3.66527,4__1___
par_4_20,NUEVA NUMANCIA,40.39626,-3.66517,4__1___
par_4_20,NUEVA NUMANCIA,40.39536,-3.66341,4__1___
par_4_20,NUEVA NUMANCIA,40.39523,-3.66352,4__1___
par_4_21,PORTAZGO,40.39297,-3.65884,4__1___
par_4_21,PORTAZGO,40.3927,-3.65886,4__1___
par_4_21,PORTAZGO,40.3933,-3.65985,4__1___
par_4_21,PORTAZGO,40.39342,-3.65975,4__1___
par_4_21,PORTAZGO,40.39236,-3.65774,4__1___
par_4_21,PORTAZGO,40.39224,-3.65785,4__1___
par_4_22,BUENOS AIRES,40.39172,-3.65401,4__1___
par_4_22,BUENOS AIRES,40.3914,-3.65394,4__1___
par_4_23,ALTO DEL ARENAL,40.39015,-3.64527,4__1___
par_4_23,ALTO DEL ARENAL,40.38969,-3.64562,4__1___
par_4_23,ALTO DEL ARENAL,40.38989,-3.64545,4__1___
par_4_24,MIGUEL HERNANDEZ,40.38757,-3.63998,4__1___
par_4_24,MIGUEL HERNANDEZ,40.38686,-3.63959,4__1___
par_4_24,MIGUEL HERNANDEZ,40.38706,-3.6398,4__1___
par_4_24,MIGUEL HERNANDEZ,40.38737,-3.63971,4__1___
par_4_25,SIERRA DE GUADALUPE,40.38196,-3.62453,4__1___
par_4_25,SIERRA DE GUADALUPE,40.38224,-3.62498,4__1___
par_4_25,SIERRA DE GUADALUPE,40.38208,-3.62467,4__1___
par_4_25,SIERRA DE GUADALUPE,40.38208,-3.62473,4__1___
par_4_25,SIERRA DE GUADALUPE,40.3831,-3.62508,4__1___
par_4_26,VILLA DE VALLECAS,40.37933,-3.62105,4__1___
par_4_26,VILLA DE VALLECAS,40.37978,-3.62187,4__1___
par_4_26,VILLA DE VALLECAS,40.37949,-3.62103,4__1___
par_4_261,CHAMARTIN,40.47314,-3.68308,4__1___
par_4_261,CHAMARTIN,40.47323,-3.68313,4__1___
par_4_262,BAMBU,40.47683,-3.67642,4__1___
par_4_262,BAMBU,40.47705,-3.67684,4__1___
par_4_263,PINAR DE CHAMARTIN,40.4802,-3.66682,4__1___
par_4_263,PINAR DE CHAMARTIN,40.48015,-3.66693,4__1___
par_4_27,CONGOSTO,40.372,-3.61866,4__1___
par_4_27,CONGOSTO,40.37233,-3.61867,4__1___
par_4_27,CONGOSTO,40.37213,-3.61891,4__1___
par_4_293,LA GAVIA,40.37029,-3.61346,4__1___
par_4_293,LA GAVIA,40.37025,-3.61337,4__1___
par_4_294,LAS SUERTES,40.36317,-3.59958,4__1___
par_4_294,LAS SUERTES,40.36325,-3.59948,4__1___
par_4_295,VALDECARROS,40.36004,-3.59319,4__1___
par_4_295,VALDECARROS,40.36009,-3.59312,4__1___
par_4_3,TETUAN,40.45982,-3.69929,4__1___
par_4_3,TETUAN,40.46115,-3.69788,4__1___
par_4_4,ESTRECHO,40.45367,-3.70283,4__1___
par_4_4,ESTRECHO,40.45525,-3.70248,4__1___
par_4_4,ESTRECHO,40.45533,-3.70274,4__1___
par_4_4,ESTRECHO,40.45363,-3.70309,4__1___
par_4_5,ALVARADO,40.45026,-3.70361,4__1___
par_4_5,ALVARADO,40.45017,-3.70337,4__1___
par_4_6,CUATRO CAMINOS,40.44671,-3.70428,4__1___
par_4_6,CUATRO CAMINOS,40.44652,-3.70362,4__1___
par_4_6,CUATRO CAMINOS,40.44689,-3.70456,4__1___
par_4_6,CUATRO CAMINOS,40.44737,-3.70406,4__1___
par_4_6,CUATRO CAMINOS,40.44534,-3.70258,4__1___
par_4_6,CUATRO CAMINOS,40.44624,-3.70375,4__1___
par_4_7,RIOS ROSAS,40.44189,-3.70113,4__1___
par_4_7,RIOS ROSAS,40.44203,-3.7011,4__1___
par_4_7,RIOS ROSAS,40.44052,-3.70127,4__1___
par_4_8,IGLESIA,40.43506,-3.6982,4__1___
par_4_8,IGLESIA,40.43475,-3.69853,4__1___
par_4_8,IGLESIA,40.43389,-3.6984,4__1___
par_4_8,IGLESIA,40.43472,-3.69924,4__1___
par_4_8,IGLESIA,40.4349,-3.69932,4__1___
par_4_8,IGLESIA,40.43507,-3.69846,4__1___
par_4_8,IGLESIA,40.43479,-3.69896,4__1___
par_4_9,BILBAO,40.42904,-3.70166,4__1___
par_4_9,BILBAO,40.42926,-3.70193,4__1___
par_4_9,BILBAO,40.42876,-3.70206,4__1___
par_4_9,BILBAO,40.43029,-3.70023,4__1___
par_4_9,BILBAO,40.43086,-3.69987,4__1___
par_4_9,BILBAO,40.43047,-3.70032,4__1___
par_4_260,LA ELIPA,40.42647,-3.65071,4__2___
par_4_260,LA ELIPA,40.42651,-3.65042,4__2___
par_4_28,VENTAS,40.43104,-3.66329,4__2___
par_4_28,VENTAS,40.4312,-3.66338,4__2___
par_4_29,MANUEL BECERRA,40.4282,-3.66951,4__2___
par_4_29,MANUEL BECERRA,40.42762,-3.66927,4__2___
par_4_30,GOYA,40.42421,-3.6761,4__2___
par_4_30,GOYA,40.42478,-3.67758,4__2___
par_4_30,GOYA,40.42494,-3.67662,4__2___
par_4_30,GOYA,40.42495,-3.67666,4__2___
par_4_30,GOYA,40.42423,-3.67619,4__2___
par_4_30,GOYA,40.42422,-3.67615,4__2___
par_4_30,GOYA,40.42441,-3.67734,4__2___
par_4_30,GOYA,40.42499,-3.67556,4__2___
par_4_30,GOYA,40.42508,-3.67581,4__2___
par_4_30,GOYA,40.4239,-3.67614,4__2___
par_4_31,PRINCIPE DE VERGARA,40.42308,-3.67976,4__2___
par_4_31,PRINCIPE DE VERGARA,40.42334,-3.68041,4__2___
par_4_31,PRINCIPE DE VERGARA,40.4233,-3.68041,4__2___
par_4_32,RETIRO,40.42082,-3.68582,4__2___
par_4_32,RETIRO,40.42096,-3.68581,4__2___
par_4_32,RETIRO,40.42005,-3.68612,4__2___
par_4_32,RETIRO,40.42044,-3.6871,4__2___
par_4_322,LA ALMUDENA,40.42374,-3.63925,4__2___
par_4_322,LA ALMUDENA,40.42358,-3.63909,4__2___
par_4_323,ALSACIA,40.41767,-3.62301,4__2___
par_4_323,ALSACIA,40.41806,-3.62326,4__2___
par_4_323,ALSACIA,40.41864,-3.62319,4__2___
par_4_323,ALSACIA,40.41861,-3.6234,4__2___
par_4_324,AVENIDA DE GUADALAJARA,40.42233,-3.61196,4__2___
par_4_324,AVENIDA DE GUADALAJARA,40.42246,-3.61162,4__2___
par_4_325,LAS ROSAS,40.4239,-3.60366,4__2___
par_4_325,LAS ROSAS,40.42376,-3.60304,4__2___
par_4_33,BANCO DE ESPAÑA,40.41937,-3.69419,4__2___
par_4_33,BANCO DE ESPAÑA,40.41895,-3.69451,4__2___
par_4_33,BANCO DE ESPAÑA,40.41874,-3.69563,4__2___
par_4_33,BANCO DE ESPAÑA,40.41907,-3.69584,4__2___
par_4_34,SEVILLA,40.41807,-3.69913,4__2___
par_4_34,SEVILLA,40.4179,-3.69956,4__2___
par_4_35,SOL,40.41707,-3.70296,4__2___
par_4_35,SOL,40.41685,-3.70296,4__2___
par_4_35,SOL,40.41665,-3.70353,4__2___
par_4_35,SOL,40.41714,-3.70329,4__2___
par_4_35,SOL,40.41671,-3.70458,4__2___
par_4_35,SOL,40.41667,-3.70441,4__2___
par_4_35,SOL,40.41724,-3.70415,4__2___
par_4_36,OPERA,40.41806,-3.70936,4__2___
par_4_36,OPERA,40.41823,-3.70935,4__2___
par_4_36,OPERA,40.41811,-3.70925,4__2___
par_4_37,SANTO DOMINGO,40.42044,-3.7086,4__2___
par_4_37,SANTO DOMINGO,40.4213,-3.70778,4__2___
par_4_38,NOVICIADO,40.4242,-3.70746,4__2___
par_4_38,NOVICIADO,40.4255,-3.70742,4__2___
par_4_38,NOVICIADO,40.42319,-3.71097,4__2___
par_4_38,NOVICIADO,40.42331,-3.71051,4__2___
par_4_38,NOVICIADO,40.42415,-3.71196,4__2___
par_4_38,NOVICIADO,40.42364,-3.71067,4__2___
par_4_38,NOVICIADO,40.42367,-3.71094,4__2___
par_4_38,NOVICIADO,40.42435,-3.70925,4__2___
par_4_38,NOVICIADO,40.42435,-3.70924,4__2___
par_4_38,NOVICIADO,40.42414,-3.71182,4__2___
par_4_39,SAN BERNARDO,40.42988,-3.70604,4__2___
par_4_39,SAN BERNARDO,40.42967,-3.7053,4__2___
par_4_40,QUEVEDO,40.43339,-3.70472,4__2___
par_4_40,QUEVEDO,40.43311,-3.70434,4__2___
par_4_41,CANAL,40.43832,-3.70412,4__2___
par_4_41,CANAL,40.43825,-3.70434,4__2___
par_4_41,CANAL,40.43846,-3.70441,4__2___
par_4_42,CUATRO CAMINOS,40.44671,-3.70428,4__2___
par_4_42,CUATRO CAMINOS,40.44652,-3.70362,4__2___
par_4_42,CUATRO CAMINOS,40.44689,-3.70456,4__2___
par_4_42,CUATRO CAMINOS,40.44737,-3.70406,4__2___
par_4_42,CUATRO CAMINOS,40.44534,-3.70258,4__2___
par_4_42,CUATRO CAMINOS,40.44624,-3.70375,4__2___
par_4_267,ALMENDRALES,40.3842,-3.69788,4__3___
par_4_267,ALMENDRALES,40.38385,-3.6983,4__3___
par_4_267,ALMENDRALES,40.38389,-3.69837,4__3___
par_4_268,HOSPITAL 12 DE OCTUBRE,40.37549,-3.69588,4__3___
par_4_268,HOSPITAL 12 DE OCTUBRE,40.37521,-3.69575,4__3___
par_4_269,SAN FERMIN-ORCASUR,40.36992,-3.69416,4__3___
par_4_269,SAN FERMIN-ORCASUR,40.36988,-3.69462,4__3___
par_4_269,SAN FERMIN-ORCASUR,40.36961,-3.6941,4__3___
par_4_270,CIUDAD DE LOS ANGELES,40.35954,-3.69295,4__3___
par_4_270,CIUDAD DE LOS ANGELES,40.36005,-3.69367,4__3___
par_4_270,CIUDAD DE LOS ANGELES,40.35973,-3.69366,4__3___
par_4_271,VILLAVERDE BAJO CRUCE,40.35057,-3.69335,4__3___
par_4_271,VILLAVERDE BAJO CRUCE,40.35109,-3.69256,4__3___
par_4_271,VILLAVERDE BAJO CRUCE,40.35081,-3.69256,4__3___
par_4_272,SAN CRISTOBAL,40.34112,-3.69249,4__3___
par_4_272,SAN CRISTOBAL,40.34167,-3.69312,4__3___
par_4_272,SAN CRISTOBAL,40.34145,-3.69248,4__3___
par_4_273,VILLAVERDE ALTO,40.341,-3.71271,4__3___
par_4_273,VILLAVERDE ALTO,40.34104,-3.71278,4__3___
par_4_43,LEGAZPI,40.39159,-3.69484,4__3___
par_4_43,LEGAZPI,40.39328,-3.69493,4__3___
par_4_43,LEGAZPI,40.39139,-3.69454,4__3___
par_4_43,LEGAZPI,40.39147,-3.69463,4__3___
par_4_44,DELICIAS,40.39861,-3.69433,4__3___
par_4_44,DELICIAS,40.39978,-3.6942,4__3___
par_4_44,DELICIAS,40.40024,-3.6939,4__3___
par_4_44,DELICIAS,40.40002,-3.69414,4__3___
par_4_45,PALOS DE LA FRONTERA,40.40293,-3.69396,4__3___
par_4_45,PALOS DE LA FRONTERA,40.40316,-3.6944,4__3___
par_4_45,PALOS DE LA FRONTERA,40.40314,-3.69414,4__3___
par_4_46,EMBAJADORES,40.40459,-3.70251,4__3___
par_4_46,EMBAJADORES,40.40508,-3.70181,4__3___
par_4_46,EMBAJADORES,40.40467,-3.7029,4__3___
par_4_46,EMBAJADORES,40.40376,-3.70656,4__3___
par_4_47,LAVAPIES,40.4084,-3.70037,4__3___
par_4_47,LAVAPIES,40.40845,-3.70074,4__3___
par_4_48,SOL,40.41707,-3.70296,4__3___
par_4_48,SOL,40.41685,-3.70296,4__3___
par_4_48,SOL,40.41665,-3.70353,4__3___
par_4_48,SOL,40.41714,-3.70329,4__3___
par_4_48,SOL,40.41671,-3.70458,4__3___
par_4_48,SOL,40.41667,-3.70441,4__3___
par_4_48,SOL,40.41724,-3.70415,4__3___
par_4_49,CALLAO,40.41971,-3.70549,4__3___
par_4_49,CALLAO,40.42002,-3.70581,4__3___
par_4_49,CALLAO,40.42014,-3.70524,4__3___
par_4_49,CALLAO,40.42049,-3.70607,4__3___
par_4_49,CALLAO,40.42009,-3.70613,4__3___
par_4_49,CALLAO,40.4201,-3.70614,4__3___
par_4_49,CALLAO,40.42013,-3.7058,4__3___
par_4_50,PLAZA DE ESPAÑA,40.4242,-3.70746,4__3___
par_4_50,PLAZA DE ESPAÑA,40.4255,-3.70742,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42319,-3.71097,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42331,-3.71051,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42415,-3.71196,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42364,-3.71067,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42367,-3.71094,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42435,-3.70925,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42435,-3.70924,4__3___
par_4_50,PLAZA DE ESPAÑA,40.42414,-3.71182,4__3___
par_4_51,VENTURA RODRIGUEZ,40.42697,-3.71375,4__3___
par_4_51,VENTURA RODRIGUEZ,40.42718,-3.71358,4__3___
par_4_51,VENTURA RODRIGUEZ,40.42696,-3.71342,4__3___
par_4_52,ARGÜELLES,40.43056,-3.71442,4__3___
par_4_52,ARGÜELLES,40.43027,-3.71578,4__3___
par_4_52,ARGÜELLES,40.43068,-3.71559,4__3___
par_4_52,ARGÜELLES,40.43138,-3.71692,4__3___
par_4_52,ARGÜELLES,40.43056,-3.71435,4__3___
par_4_52,ARGÜELLES,40.43068,-3.71556,4__3___
par_4_53,MONCLOA,40.43473,-3.71961,4__3___
par_4_53,MONCLOA,40.43469,-3.71897,4__3___
par_4_53,MONCLOA,40.4347,-3.71949,4__3___
par_4_53,MONCLOA,40.4351,-3.71924,4__3___
par_4_53,MONCLOA,40.43364,-3.71782,4__3___
par_4_53,MONCLOA,40.43381,-3.71893,4__3___
par_4_264,HORTALEZA,40.47488,-3.65234,4__4___
par_4_264,HORTALEZA,40.4742,-3.65204,4__4___
par_4_265,MANOTERAS,40.47684,-3.66285,4__4___
par_4_265,MANOTERAS,40.47684,-3.66285,4__4___
par_4_266,PINAR DE CHAMARTIN,40.4802,-3.66682,4__4___
par_4_266,PINAR DE CHAMARTIN,40.48015,-3.66693,4__4___
par_4_54,ARGÜELLES,40.43056,-3.71442,4__4___
par_4_54,ARGÜELLES,40.43027,-3.71578,4__4___
par_4_54,ARGÜELLES,40.43068,-3.71559,4__4___
par_4_54,ARGÜELLES,40.43138,-3.71692,4__4___
par_4_54,ARGÜELLES,40.43056,-3.71435,4__4___
par_4_54,ARGÜELLES,40.43068,-3.71556,4__4___
par_4_55,SAN BERNARDO,40.42988,-3.70604,4__4___
par_4_55,SAN BERNARDO,40.42967,-3.7053,4__4___
par_4_56,BILBAO,40.42904,-3.70166,4__4___
par_4_56,BILBAO,40.42926,-3.70193,4__4___
par_4_56,BILBAO,40.42876,-3.70206,4__4___
par_4_56,BILBAO,40.43029,-3.70023,4__4___
par_4_56,BILBAO,40.43086,-3.69987,4__4___
par_4_56,BILBAO,40.43047,-3.70032,4__4___
par_4_57,ALONSO MARTINEZ,40.42744,-3.69593,4__4___
par_4_57,ALONSO MARTINEZ,40.42738,-3.69544,4__4___
par_4_57,ALONSO MARTINEZ,40.42803,-3.6956,4__4___
par_4_57,ALONSO MARTINEZ,40.42784,-3.69707,4__4___
par_4_58,COLON,40.42573,-3.69167,4__4___
par_4_58,COLON,40.4254,-3.69167,4__4___
par_4_59,SERRANO,40.42548,-3.68761,4__4___
par_4_59,SERRANO,40.42528,-3.6876,4__4___
par_4_59,SERRANO,40.4254,-3.68608,4__4___
par_4_59,SERRANO,40.42521,-3.68608,4__4___
par_4_60,VELAZQUEZ,40.42525,-3.68331,4__4___
par_4_60,VELAZQUEZ,40.42507,-3.68345,4__4___
par_4_60,VELAZQUEZ,40.42519,-3.68182,4__4___
par_4_60,VELAZQUEZ,40.42499,-3.68182,4__4___
par_4_61,GOYA,40.42421,-3.6761,4__4___
par_4_61,GOYA,40.42478,-3.67758,4__4___
par_4_61,GOYA,40.42494,-3.67662,4__4___
par_4_61,GOYA,40.42495,-3.67666,4__4___
par_4_61,GOYA,40.42423,-3.67619,4__4___
par_4_61,GOYA,40.42422,-3.67615,4__4___
par_4_61,GOYA,40.42441,-3.67734,4__4___
par_4_61,GOYA,40.42499,-3.67556,4__4___
par_4_61,GOYA,40.42508,-3.67581,4__4___
par_4_61,GOYA,40.4239,-3.67614,4__4___
par_4_62,LISTA,40.42971,-3.67542,4__4___
par_4_62,LISTA,40.42856,-3.67554,4__4___
par_4_63,DIEGO DE LEON,40.43463,-3.67509,4__4___
par_4_63,DIEGO DE LEON,40.43481,-3.67501,4__4___
par_4_63,DIEGO DE LEON,40.435,-3.67452,4__4___
par_4_63,DIEGO DE LEON,40.43405,-3.6748,4__4___
par_4_63,DIEGO DE LEON,40.43241,-3.6749,4__4___
par_4_63,DIEGO DE LEON,40.43235,-3.67363,4__4___
par_4_63,DIEGO DE LEON,40.43261,-3.67237,4__4___
par_4_63,DIEGO DE LEON,40.43319,-3.67284,4__4___
par_4_63,DIEGO DE LEON,40.4332,-3.67332,4__4___
par_4_64,AVENIDA DE AMERICA,40.43781,-3.6772,4__4___
par_4_64,AVENIDA DE AMERICA,40.43766,-3.67664,4__4___
par_4_64,AVENIDA DE AMERICA,40.43778,-3.67705,4__4___
par_4_64,AVENIDA DE AMERICA,40.43876,-3.6794,4__4___
par_4_65,PROSPERIDAD,40.44428,-3.67474,4__4___
par_4_66,ALFONSO XIII,40.44822,-3.66786,4__4___
par_4_67,AVENIDA DE LA PAZ,40.45325,-3.66197,4__4___
par_4_67,AVENIDA DE LA PAZ,40.45264,-3.66372,4__4___
par_4_67,AVENIDA DE LA PAZ,40.45348,-3.66239,4__4___
par_4_68,ARTURO SORIA,40.45604,-3.65617,4__4___
par_4_68,ARTURO SORIA,40.45565,-3.65603,4__4___
par_4_68,ARTURO SORIA,40.4556,-3.65674,4__4___
par_4_68,ARTURO SORIA,40.45687,-3.65457,4__4___
par_4_69,ESPERANZA,40.45957,-3.64586,4__4___
par_4_70,CANILLAS,40.46377,-3.6356,4__4___
par_4_70,CANILLAS,40.46372,-3.63516,4__4___
par_4_70,CANILLAS,40.46461,-3.63575,4__4___
par_4_70,CANILLAS,40.46512,-3.63541,4__4___
par_4_70,CANILLAS,40.46371,-3.63559,4__4___
par_4_71,MAR DE CRISTAL,40.4689,-3.63833,4__4___
par_4_71,MAR DE CRISTAL,40.46944,-3.63888,4__4___
par_4_71,MAR DE CRISTAL,40.47017,-3.63855,4__4___
par_4_71,MAR DE CRISTAL,40.46939,-3.63888,4__4___
par_4_72,SAN LORENZO,40.47451,-3.63957,4__4___
par_4_72,SAN LORENZO,40.47454,-3.63939,4__4___
par_4_72,SAN LORENZO,40.4743,-3.63942,4__4___
par_4_73,PARQUE DE SANTA MARIA,40.47713,-3.64552,4__4___
par_4_73,PARQUE DE SANTA MARIA,40.47729,-3.64517,4__4___
par_4_73,PARQUE DE SANTA MARIA,40.47697,-3.64497,4__4___
par_4_100,ALUCHE,40.38582,-3.76105,4__5___
par_4_100,ALUCHE,40.38597,-3.76088,4__5___
par_4_100,ALUCHE,40.38576,-3.7612,4__5___
par_4_100,ALUCHE,40.38595,-3.76085,4__5___
par_4_100,ALUCHE,40.38538,-3.76067,4__5___
par_4_100,ALUCHE,40.3853,-3.76043,4__5___
par_4_100,ALUCHE,40.38546,-3.76043,4__5___
par_4_101,EMPALME,40.39085,-3.76591,4__5___
par_4_102,CAMPAMENTO,40.39445,-3.76827,4__5___
par_4_102,CAMPAMENTO,40.39469,-3.7681,4__5___
par_4_103,CASA DE CAMPO,40.40318,-3.7609,4__5___
par_4_103,CASA DE CAMPO,40.40331,-3.76103,4__5___
par_4_252,ALAMEDA DE OSUNA,40.45739,-3.5881,4__5___
par_4_252,ALAMEDA DE OSUNA,40.45753,-3.58775,4__5___
par_4_253,EL CAPRICHO,40.45294,-3.59494,4__5___
par_4_253,EL CAPRICHO,40.45331,-3.59438,4__5___
par_4_253,EL CAPRICHO,40.45361,-3.59354,4__5___
par_4_74,CANILLEJAS,40.44923,-3.60897,4__5___
par_4_74,CANILLEJAS,40.44949,-3.60808,4__5___
par_4_74,CANILLEJAS,40.44909,-3.60814,4__5___
par_4_75,TORRE ARIAS,40.44373,-3.61712,4__5___
par_4_75,TORRE ARIAS,40.44357,-3.617,4__5___
par_4_76,SUANZES,40.44075,-3.6272,4__5___
par_4_76,SUANZES,40.44101,-3.62684,4__5___
par_4_77,CIUDAD LINEAL,40.43758,-3.63806,4__5___
par_4_77,CIUDAD LINEAL,40.43784,-3.63846,4__5___
par_4_77,CIUDAD LINEAL,40.43819,-3.63802,4__5___
par_4_77,CIUDAD LINEAL,40.43833,-3.63604,4__5___
par_4_78,PUEBLO NUEVO,40.43529,-3.64348,4__5___
par_4_78,PUEBLO NUEVO,40.43525,-3.64387,4__5___
par_4_78,PUEBLO NUEVO,40.4351,-3.64389,4__5___
par_4_78,PUEBLO NUEVO,40.43608,-3.64215,4__5___
par_4_78,PUEBLO NUEVO,40.43607,-3.64181,4__5___
par_4_78,PUEBLO NUEVO,40.43593,-3.64211,4__5___
par_4_79,QUINTANA,40.4329,-3.64916,4__5___
par_4_79,QUINTANA,40.43307,-3.64911,4__5___
par_4_79,QUINTANA,40.43358,-3.64696,4__5___
par_4_79,QUINTANA,40.43368,-3.64754,4__5___
par_4_80,EL CARMEN,40.43201,-3.6556,4__5___
par_4_80,EL CARMEN,40.43244,-3.65538,4__5___
par_4_80,EL CARMEN,40.43176,-3.65739,4__5___
par_4_80,EL CARMEN,40.4319,-3.65744,4__5___
par_4_81,VENTAS,40.43104,-3.66329,4__5___
par_4_81,VENTAS,40.4312,-3.66338,4__5___
par_4_82,DIEGO DE LEON,40.43463,-3.67509,4__5___
par_4_82,DIEGO DE LEON,40.43481,-3.67501,4__5___
par_4_82,DIEGO DE LEON,40.435,-3.67452,4__5___
par_4_82,DIEGO DE LEON,40.43405,-3.6748,4__5___
par_4_82,DIEGO DE LEON,40.43241,-3.6749,4__5___
par_4_82,DIEGO DE LEON,40.43235,-3.67363,4__5___
par_4_82,DIEGO DE LEON,40.43261,-3.67237,4__5___
par_4_82,DIEGO DE LEON,40.43319,-3.67284,4__5___
par_4_82,DIEGO DE LEON,40.4332,-3.67332,4__5___
par_4_83,NUÑEZ DE BALBOA,40.43281,-3.68313,4__5___
par_4_83,NUÑEZ DE BALBOA,40.43277,-3.6823,4__5___
par_4_83,NUÑEZ DE BALBOA,40.42974,-3.67935,4__5___
par_4_84,RUBEN DARIO,40.43276,-3.69097,4__5___
par_4_84,RUBEN DARIO,40.43318,-3.691,4__5___
par_4_84,RUBEN DARIO,40.4333,-3.68873,4__5___
par_4_85,ALONSO MARTINEZ,40.42744,-3.69593,4__5___
par_4_85,ALONSO MARTINEZ,40.42738,-3.69544,4__5___
par_4_85,ALONSO MARTINEZ,40.42803,-3.6956,4__5___
par_4_85,ALONSO MARTINEZ,40.42784,-3.69707,4__5___
par_4_86,CHUECA,40.42263,-3.69767,4__5___
par_4_87,GRAN VIA,40.41986,-3.70158,4__5___
par_4_87,GRAN VIA,40.41991,-3.7013,4__5___
par_4_87,GRAN VIA,40.41992,-3.70183,4__5___
par_4_87,GRAN VIA,40.42013,-3.70181,4__5___
par_4_88,CALLAO,40.41971,-3.70549,4__5___
par_4_88,CALLAO,40.42002,-3.70581,4__5___
par_4_88,CALLAO,40.42014,-3.70524,4__5___
par_4_88,CALLAO,40.42049,-3.70607,4__5___
par_4_88,CALLAO,40.42009,-3.70613,4__5___
par_4_88,CALLAO,40.4201,-3.70614,4__5___
par_4_88,CALLAO,40.42013,-3.7058,4__5___
par_4_89,OPERA,40.41806,-3.70936,4__5___
par_4_89,OPERA,40.41823,-3.70935,4__5___
par_4_89,OPERA,40.41811,-3.70925,4__5___
par_4_90,LA LATINA,40.41108,-3.70868,4__5___
par_4_90,LA LATINA,40.41113,-3.70813,4__5___
par_4_90,LA LATINA,40.41166,-3.70821,4__5___
par_4_91,PUERTA DE TOLEDO,40.40681,-3.71087,4__5___
par_4_92,ACACIAS,40.40459,-3.70251,4__5___
par_4_92,ACACIAS,40.40508,-3.70181,4__5___
par_4_92,ACACIAS,40.40467,-3.7029,4__5___
par_4_92,ACACIAS,40.40376,-3.70656,4__5___
par_4_93,PIRAMIDES,40.40157,-3.71285,4__5___
par_4_93,PIRAMIDES,40.40143,-3.71269,4__5___
par_4_93,PIRAMIDES,40.40258,-3.71136,4__5___
par_4_93,PIRAMIDES,40.40254,-3.71138,4__5___
par_4_94,MARQUES DE VADILLO,40.3973,-3.71607,4__5___
par_4_94,MARQUES DE VADILLO,40.39766,-3.71638,4__5___
par_4_95,URGEL,40.39265,-3.72533,4__5___
par_4_95,URGEL,40.39365,-3.7231,4__5___
